RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.28,4,27.3,56.8,16.7,11.6,14,0.286,32,0.313,0,0,0.313,0.314,6,11.8,22.1,1.5,8,0.5,0.75,1.25,6.9,81.2,88.8
,Bam Adebayo,Mia,C-F,22.29,4,31.7,66.1,19.6,20.9,37,0.73,31,0.581,2,0,0.545,0.639,15.8,10.8,18.5,4.8,22.2,1.25,1.75,3.25,11.8,119.6,90.8
,LaMarcus Aldridge,San,F-C,34.28,3,34,70.9,25,12.5,16,0.813,44,0.477,5,0.6,0.52,0.571,21.3,8,12,2.3,10,0.67,2.67,2.67,8.6,112.1,102.6
,Nickeil Alexander-Walker,Nor,G,21.16,4,15.7,32.7,24.4,10.3,2,0.5,16,0.313,18,0.278,0.368,0.373,6.5,2.5,7.9,4.3,35.4,0.75,0,1,10.5,91.6,109
,Grayson Allen,Mem,G,24.06,4,18.6,38.6,22.6,14.2,10,0.8,15,0.333,17,0.235,0.344,0.412,7.5,2.3,6.1,1.8,13.9,0.5,0,1.5,6.8,81.2,104.7
,Jarrett Allen,Bro,C,21.53,3,29.7,61.9,11.6,15.7,8,0.5,18,0.556,0,0,0.556,0.558,8,11,19.9,1.3,6.2,0.67,1.67,1.33,6.5,116.1,99.8
,Al-Farouq Aminu,Orl,F,29.11,3,23.8,49.5,9.9,12,6,0.5,8,0.25,4,0.5,0.417,0.444,4.3,5.3,10.9,1,6.2,1.67,0.67,0.67,4.8,100.1,89.8
,Kyle Anderson,Mem,F-G,26.11,4,20.4,42.5,12.3,7.8,8,0.625,18,0.556,2,0.5,0.575,0.595,7,5,12.3,2,14.7,1,0.75,0.5,8.1,122.9,103.3
,Giannis Antetokounmpo,Mil,F,24.9,3,31.3,65.3,34.5,16.6,28,0.536,41,0.634,12,0.167,0.547,0.559,24.3,13.3,20.5,9,47.2,1.33,1.67,4.33,18.2,109.1,88.6
,Kostas Antetokounmpo,Lal,F,21.94,2,1.4,2.9,0,,0,0,0,0,0,0,,,0,0.5,19,0,0,0,0,0,0,,
,OG Anunoby,Tor,F,22.29,4,34.3,71.5,13.1,9.2,1,0,23,0.609,16,0.438,0.628,0.621,12.3,7.3,10,1,4.8,1.5,2.25,1,5.2,116.4,90.3
,Ryan Arcidiacono,Chi,G,25.6,4,14.8,30.9,7.2,9.6,1,1,4,0.5,5,0.8,0.889,0.9,4.3,2.8,9,1.8,16.8,0.5,0,0.25,7.5,173,105.1
,Trevor Ariza,Sac,F,34.33,4,22.2,46.3,8.9,10.6,2,1,5,0.2,11,0.364,0.438,0.474,4,3.5,8.6,1,6.8,0.75,0,0.5,4.3,100.4,109.8
